user,category,question,answer,detail
shyang,樂,想換韓幣..有匯率高一點的嗎..我想換依些韓幣12/25-12/28要去韓國阿,我12/25-12/28要去韓國想換一些韓幣，請問有匯率高一點的嗎？,匯率
shyang,樂,去京都的行程跟預算?,去京都的行程跟預算,預算支出
shyang,樂,請問在東京買Aigle外套可以退稅?,請問在東京買Aigle外套可以退稅嗎?,報關/稅制
shyang,樂,請問哪裡有日本porter包的專賣店？？？,請問日本porter包的專賣店在哪裡？,景點/行程/購物推薦
shyang,樂,上野丸井百貨的@COSME、PLAZA、LOFT有中信九折嗎?,持中信卡購買上野丸井百貨的@COSME、PLAZA、LOFT可以打九折嗎？,優惠折扣
shyang,樂,請問首爾的戰爭紀念館裡有無中文導覽呢?,請問首爾的戰爭紀念館裡是否提供中文導覽呢?,設施與服務
shyang,樂,下禮拜一8/29去關西遇颱風,下禮拜一8/29去關西將遇颱風,氣候/天氣/路況
shyang,樂,藤子不二雄博物馆怎么买票,要去藤子不二雄博物館，請問可以去哪買？,票券相關
yao-yao,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,﻿西班牙有什麼特別的美食，還是必去的餐廳嗎？,找餐廳/店家或菜色
yao-yao,食,請問新村站著吃燒肉休息時間,請問你知不知道新村站著吃燒肉的營業時間嗎 ? ,餐廳基本資訊 (地址、聯絡方式、營業時間)
yao-yao,食,台北的壽喜燒哪些有當月壽星折扣?,請問哪些台北的壽喜燒有當月壽星折扣?,優惠折扣
yao-yao,食,有沒有人知道這餐廳在哪裡呀？,誰知道這餐廳在哪裡呀？,餐廳基本資訊 (地址、聯絡方式、營業時間)
yao-yao,食,請教現在在台北還能訂到4人份的2017春節的年夜飯嗎？,請問現在台北哪邊還能訂到2017除夕4人份的年夜飯嗎？,餐廳訂位
yao-yao,食,林東芳牛肉麵營業時間,請問林東芳牛肉麵的營業時間,餐廳基本資訊 (地址、聯絡方式、營業時間)
yao-yao,食,太魯閣國家公園遊客中心有簡餐嗎?,請問太魯閣國家公園遊客中心裡面有賣簡餐嗎?,消費方式/價格
yao-yao,食,怎可以在西門町馬辣訂位?,誰知道西門町馬辣要怎麼訂位?,餐廳訂位
yao-yao,食,請問週六去吃前三輪的壽司大 大概要幾點去排隊？,如果我想星期六去吃前三輪的壽司大，我大概幾點要去排隊？,餐廳基本資訊 (地址、聯絡方式、營業時間)
yao-yao,食,九份喝茶的最低消费,請問去九份喝茶的最低消费大概多少錢?,消費方式/價格
yao-yao,衣,﻿哪裡買得到這種波西米亞風格的衣服,這種波西米亞風格的衣服要去哪裡買?,其他
yao-yao,衣,gozo有賣女用手套嗎,請問gozo有在賣女用手套嗎 ?,其他
yao-yao,衣,A&F格紋褲是不是比工作短褲緊阿？,A&F的格紋褲和工作短褲哪一件比較緊呢?,尺寸問題
yao-yao,衣,可以推薦個麂皮清潔用品嗎?,請問有建議的麂皮清潔用品嗎?,清洗修改
yao-yao,衣,TOMMY到過年那時候還會有折扣嗎?,TOMMY在過年期間會有優惠嗎?,優惠折扣
yao-yao,衣,請問這個PORTER Smoky 是真品嗎？,請問這個PORTER Smoky 是不是正品？,商品真偽
yao-yao,衣,請問我有辦法挽救我的羽絨外套嗎,請問我的這件羽絨外套還有救嗎?,清洗修改
yao-yao,衣,在G2000特賣會買的衣服可以到門市換貨嗎？,請問在G2000特賣會買的衣服如果不合適可以再到門市換嗎？,退換貨及保固
yao-yao,衣,有關於素t品牌的材質,請問這件素t品牌的材質好嗎?,衣物材質
yao-yao,衣,有鄉民知道 YOHJI YAMAMOTO 的圍巾大概多少錢嗎？,跪求YOHJI YAMAMOTO 的圍巾價錢,價格相關
claire shu,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,西班牙的特色飲食是甚麼？好吃嗎?,餐廳/店家評價或推薦
claire shu,食,太魯閣國家公園遊客中心有簡餐嗎?,太魯閣國家公園有可以吃飯的地方嗎,找餐廳/店家或菜色
claire shu,衣,﻿哪裡買得到這種波西米亞風格的衣服,波西米亞風格的衣服要在哪裡買,穿搭風格
claire shu,衣,gozo有賣女用手套嗎,女用手套gozo也有在賣嗎,服裝品牌
claire shu,衣,A&F格紋褲是不是比工作短褲緊阿？,A&F格紋褲和工作短褲那個比較緊阿？,尺寸問題
claire shu,衣,請問這個PORTER Smoky 是真品嗎？,PORTER Smoky 是有被賣過假貨嗎,商品真偽
claire shu,衣,請問我有辦法挽救我的羽絨外套嗎,教我怎麼讓我的羽絨外套變回來好嗎,清洗修改
claire shu,衣,在G2000特賣會買的衣服可以到門市換貨嗎？,我可以到門市換G2000特賣會時買的衣服嗎,退換貨及保固
claire shu,衣,有關於素t品牌的材質,素t品牌的材質如何,衣物材質
claire shu,衣,有鄉民知道 YOHJI YAMAMOTO 的圍巾大概多少錢嗎？, YOHJI YAMAMOTO 的圍巾價格範圍是多少?,價格相關
claire shu,住,﻿台北市有可攜帶寵物一同入住的日租型房嗎?,﻿台北市是否有可攜帶寵物一同入住的日租型房嗎?,住宿類型或風格
claire shu,住,關於三人入住雙人房的問題,三人入住雙人房的問題想請教一下,住宿類型或風格
claire shu,住,入住國外飯店時要注意的禁忌..........,住國外飯店時需要注意的禁忌,住宿禮儀或禁忌
claire shu,住,請問台灣有沒有便宜的民宿只提供床位和盥洗?,台灣是否有便宜的民宿只提供床位和盥洗?,設施與服務
claire shu,住,一榮飯店在樂天價格早上跟晚上不同？,一榮飯店在樂天價格早上跟晚上是否會不一樣？,住宿價格/稅金
claire shu,住,九份海景雙人房 讓出,讓出九份海景雙人房 ,其他
廖瑞昌,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,西班牙有什麼好吃的，特別的餐廳嗎？,問適合餐廳
廖瑞昌,食,請問新村站著吃燒肉休息時間,請問新村站那間燒肉店的休息時間,餐廳基本資訊 (地址、聯絡方式、營業時間)
廖瑞昌,食,台北的壽喜燒哪些有當月壽星折扣?,台北哪些壽喜燒店家有當月壽星折扣,優惠折扣
廖瑞昌,食,有沒有人知道這餐廳在哪裡呀？,有人知道這家餐廳在哪裡嗎？,餐廳基本資訊 (地址、聯絡方式、營業時間)
廖瑞昌,食,請教現在在台北還能訂到4人份的2017春節的年夜飯嗎？,請問現在台北哪家店能訂到4人份的2017春節的年夜飯？,找餐廳/店家或菜色
廖瑞昌,食,林東芳牛肉麵營業時間,林東芳牛肉麵店的營業時間,餐廳基本資訊 (地址、聯絡方式、營業時間)
廖瑞昌,食,太魯閣國家公園遊客中心有簡餐嗎?,太魯閣國家公園遊客中心有賣簡餐嗎?,其他
廖瑞昌,食,怎可以在西門町馬辣訂位?,西門町馬辣火鍋店要怎麼訂位？,餐廳訂位
廖瑞昌,食,請問週六去吃前三輪的壽司大 大概要幾點去排隊？,請問週六大概要幾點去排隊才吃得到前三輪的壽司 ？,餐廳基本資訊 (地址、聯絡方式、營業時間)
廖瑞昌,食,九份喝茶的最低消费,這是在九份喝茶的最低消费,消費方式/價格
廖瑞昌,衣,﻿哪裡買得到這種波西米亞風格的衣服,哪裡能買到這種波西米亞風格的衣服,服裝品牌
廖瑞昌,衣,gozo有賣女用手套嗎,gozo可以買得到女用手套嗎,其他
廖瑞昌,衣,A&F格紋褲是不是比工作短褲緊阿？,A&F格紋褲有沒有比工作短褲緊啊？,尺寸問題
廖瑞昌,衣,可以推薦個麂皮清潔用品嗎?,哪種麂皮清潔用品比較好用呢?,評價/推薦
廖瑞昌,衣,TOMMY到過年那時候還會有折扣嗎?,過年那時候TOMMY還會有折扣嗎?,優惠折扣
廖瑞昌,衣,請問這個PORTER Smoky 是真品嗎？,請問這個PORTER Smoky 會是假貨嗎？,商品真偽
廖瑞昌,衣,請問我有辦法挽救我的羽絨外套嗎,請問要用什麼辦法挽救我的羽絨呢,退換貨及保固
廖瑞昌,衣,在G2000特賣會買的衣服可以到門市換貨嗎？,在G2000特賣會買的衣服能去門市換貨嗎？,退換貨及保固
廖瑞昌,衣,有關於素t品牌的材質,素t品牌的材質有哪些,衣物材質
廖瑞昌,衣,有鄉民知道 YOHJI YAMAMOTO 的圍巾大概多少錢嗎？, YOHJI YAMAMOTO 的圍巾大概多少錢有鄉民知道嗎？,價格相關
廖瑞昌,住,﻿台北市有可攜帶寵物一同入住的日租型房嗎?,台北市哪裡有日租型房可攜帶寵物一同入住?,其他
廖瑞昌,住,關於三人入住雙人房的問題,可以三人入住雙人房嗎？,住宿類型或風格
廖瑞昌,住,入住國外飯店時要注意的禁忌..........,在國外飯店住宿時要注意的禁忌.......... ,住宿禮儀或禁忌
廖瑞昌,住,請問台灣有沒有便宜的民宿只提供床位和盥洗?,請問台灣有沒有只提供床位和盥洗的便宜民宿? ,住宿評價或推薦
廖瑞昌,住,一榮飯店在樂天價格早上跟晚上不同？,一榮飯店在樂天的價格早上跟晚上一樣嗎？ ,住宿價格/稅金
廖瑞昌,住,持KIX-ITM卡住關西日航飯店會打折嗎?,住關西日航飯店持KIX-ITM卡會打折嗎?,優惠折扣
廖瑞昌,住,想請問The Dorm跟FUKU青年旅店周邊環境安全問題,The Dorm跟FUKU青年旅店周邊的環境安全應該注意哪些 ,安全問題
廖瑞昌,住,可以推薦離地鐵近的住宿嗎？,哪間離地鐵近的住宿比較好？ ,住宿評價或推薦
廖瑞昌,行,﻿有人坐過Country link的火車嗎,Country link的火車搭起來如何呀,坐火車
廖瑞昌,樂,﻿台灣帶狗狗出遊的好地方,台灣那些地方適合帶狗狗出遊,找景點/活動/店家
廖瑞昌,住,請問東橫INN大阪船場2號店交通位置是否方便？20170207開幕,20170207即將開幕的東橫INN大阪船場2號店的交通位置是否方便？,其他
廖瑞昌,住,九份海景雙人房 讓出,九份有間海景雙人房要讓出,其他
廖瑞昌,行,8天7夜台中台南 包車服務查詢,台中台南8天7夜包車服務查詢,設施與服務
廖瑞昌,樂,想換韓幣..有匯率高一點的嗎..我想換依些韓幣12/25-12/28要去韓國阿,"12/25-12/28我要去韓國,想換一些韓幣,有匯率高一點的嗎",匯率
YZ-Lin,衣,gozo有賣女用手套嗎,gozo有賣女用的羊毛手套嗎,衣物材質
YZ-Lin,衣,A&F格紋褲是不是比工作短褲緊阿？,A&F格紋褲穿起來是不是比工作短褲還合身阿？,其他
YZ-Lin,衣,可以推薦個麂皮清潔用品嗎?,有清潔麂皮用的東西嗎？,清洗修改
YZ-Lin,食,台北的壽喜燒哪些有當月壽星折扣?,台北哪家壽喜燒有當月壽星的折扣？,優惠折扣
YZ-Lin,食,怎可以在西門町馬辣訂位?,請問西門町馬辣的訂位方式?,餐廳訂位
